topic,question,A,B,C,D,correct
Cybersecurity,Which are examples of malware?,Trojan,Worm,Firewall,Spyware,"A,B,D"
Cybersecurity,Which are strong password practices?,Include numbers,Use dictionary words,Use symbols,Short length,"A,C"
Cybersecurity,Which protocols provide secure communication?,HTTPS,FTP,SSH,Telnet,"A,C"
Cybersecurity,Which are multi-factor authentication methods?,Password,OTP,Fingerprint,Username,"B,C"
Cybersecurity,Which are common cyber attacks?,Phishing,SQL Injection,DDoS,Encryption,"A,B,C"
Cybersecurity,Which tools are used for penetration testing?,Wireshark,Nmap,Burp Suite,Excel,"A,B,C"
Cybersecurity,Which methods can protect data?,Encryption,Backup,Deleting files,Firewall,"A,B,D"
Cybersecurity,Which are examples of social engineering?,Phishing,Vishing,Brute Force,Shoulder Surfing,"A,B,D"
Digital Electronics,Which are logic gates?,AND,OR,IF,NOT,"A,B,D"
Digital Electronics,Which are binary numbers?,1010,1111,ABCD,1001,"A,B,D"
Digital Electronics,Which components store energy?,Resistor,Inductor,Capacitor,Diode,"B,C"
Digital Electronics,Which are universal gates?,NAND,NOR,AND,OR,"A,B"
Digital Electronics,Which are combinational circuits?,Adder,Multiplexer,Flip-Flop,Decoder,"A,B,D"
Linux Administration,Which commands are used to view files?,cat,less,rm,head,"A,B,D"
Linux Administration,Which are package managers?,apt,yum,pkg,netstat,"A,B,C"
Linux Administration,Which are text editors in Linux?,vim,nano,notepad,emacs,"A,B,D"
Linux Administration,Which are valid Linux directories?,/home,/usr,/windows,/etc,"A,B,D"
Networking,Which are network devices?,Router,Switch,Repeater,Compiler,"A,B,C"
Networking,Which are types of IP addresses?,Private,Public,Loopback,Dynamic,"A,B,C,D"
Networking,Which layers are in the OSI model?,Network,Transport,Session,Process,"A,B,C"
Networking,Which are routing protocols?,OSPF,BGP,RIP,FTP,"A,B,C"
Networking,Which are wireless standards?,802.11a,802.11b,802.3,802.11g,"A,B,D"
Networking,Which are examples of cables?,Coaxial,Fiber optic,HDMI,Twisted pair,"A,B,D"
Robotics,Which are robot sensors?,Ultrasonic,Infrared,Servo,Temperature,"A,B,D"
Robotics,Which are robot actuators?,Servo,Motor,Sensor,Valve,"A,B,D"
Robotics,Which are programming languages used in robotics?,Python,C++,HTML,Java,"A,B,D"
Robotics,Which are robot components?,Controller,Actuator,Display,Sensor,"A,B,D"
Android Apps Development (IoT),Which are IoT communication protocols?,MQTT,HTTP,Bluetooth,Zigbee,"A,B,D"
Android Apps Development (IoT),Which are IoT devices?,Raspberry Pi,Arduino,Mouse,ESP8266,"A,B,D"
Android Apps Development (Productivity),Which languages are used for Android development?,Java,Kotlin,Python,Swift,"A,B"
Android Apps Development (Game Development),Which game engines can export to Android?,Unity,Godot,Unreal,Notepad,"A,B,C"
Database,Which are SQL statements?,SELECT,INSERT,DELETE,SEARCH,"A,B,C"
Database,Which are aggregate functions?,SUM,AVG,COUNT,LEN,"A,B,C"
Database,Which are NoSQL databases?,MongoDB,MySQL,Redis,Cassandra,"A,C,D"
Database,Which are types of database keys?,Primary,Foreign,Composite,Symbol,"A,B,C"
Java,Which are Java data types?,int,String,float,number,"A,B,C"
Java,Which are OOP principles?,Encapsulation,Inheritance,Polymorphism,Iteration,"A,B,C"
Java,Which are access modifiers in Java?,public,private,protected,secure,"A,B,C"
Java,Which are valid loops in Java?,for,while,until,do-while,"A,B,D"
C#,Which are C# data types?,int,float,boolean,word,"A,B,C"
C#,Which are control structures?,if,switch,for,case,"A,B,C"
C#,Which are access modifiers?,public,private,protected,secure,"A,B,C"
Python,Which are Python data types?,list,tuple,dictionary,field,"A,B,C"
Python,Which are Python keywords?,def,for,lambda,function,"A,B,C"
Python,Which are Python libraries?,NumPy,Pandas,Requests,Windows,"A,B,C"
Python,Which are loop types?,for,while,repeat,do,"A,B"
Web Design,Which are HTML tags?,<p>,<a>,<body>,<link>,"A,B,C,D"
Web Design,Which are CSS properties?,color,margin,padding,divide,"A,B,C"
Web Design,Which are web languages?,HTML,CSS,JavaScript,C++,"A,B,C"
Networking,Which devices are used to connect networks?,Router,Switch,Modem,Projector,"A,B,C"
Cybersecurity,Which are common types of malware?,Virus,Worm,Trojan,Firewall,"A,B,C"
Databases,Which commands are used to retrieve data?,SELECT,SHOW,PRINT,DISPLAY,"A,B"
Hardware,Which are computer output devices?,Monitor,Printer,Speaker,Microphone,"A,B,C"
Software,Which are examples of application software?,Word,Excel,Photoshop,BIOS,"A,B,C"
AI,Which are types of machine learning?,Supervised,Unsupervised,Reinforcement,Procedural,"A,B,C"
Networking,Which are valid IP protocols?,TCP,UDP,ICMP,HDMI,"A,B,C"
Cybersecurity,Which help strengthen account security?,Strong passwords,2FA,Firewalls,Short passwords,"A,B,C"
Hardware,Which of these store data permanently?,SSD,HDD,Flash Drive,RAM,"A,B,C"
Databases,Which are types of SQL joins?,INNER,LEFT,RIGHT,CROSS,"A,B,C,D"
Software,Which are operating systems?,Windows,macOS,Linux,Google Docs,"A,B,C"
AI,Which are real-world AI applications?,Chatbots,Image Recognition,Speech-to-Text,File Compression,"A,B,C"
Programming,Which are conditional statements?,if,else,switch,define,"A,B,C"
Networking,Which are types of cables?,Twisted Pair,Coaxial,Fiber Optic,HDMI,"A,B,C"
Cybersecurity,Which are examples of social engineering?,Phishing,Pretexting,Baiting,Encryption,"A,B,C"
Hardware,Which are computer input devices?,Keyboard,Mouse,Scanner,Speaker,"A,B,C"
Software,Which are examples of browsers?,Chrome,Firefox,Edge,Paint,"A,B,C"
AI,Which are Python libraries for AI?,TensorFlow,PyTorch,Scikit-learn,Numpy,"A,B,C,D"
Programming,Which of these are loop structures?,for,while,do-while,include,"A,B,C"
Networking,Which are wireless technologies?,Wi-Fi,Bluetooth,NFC,VGA,"A,B,C"
Cybersecurity,Which protect network traffic?,VPN,Firewall,Proxy,Word Processor,"A,B,C"
Hardware,Which components are inside a CPU?,ALU,CU,Registers,RAM,"A,B,C"
Databases,Which are SQL aggregate functions?,SUM,AVG,COUNT,CHAR,"A,B,C"
Software,Which of these are IDEs?,VS Code,PyCharm,Eclipse,Spotify,"A,B,C"
AI,Which are popular programming languages for AI?,Python,R,Java,C++,"A,B,C,D"
Programming,Which of the following are arithmetic operators?,+,-,*,if,"A,B,C"
Networking,Which are valid network topologies?,Star,Bus,Ring,Flat,"A,B,C"
Cybersecurity,Which are types of hackers?,Black Hat,White Hat,Gray Hat,Script Hat,"A,B,C"
Hardware,Which are examples of computer memory?,RAM,ROM,Cache,Hard Disk,"A,B,C,D"
Software,Which are examples of system software?,Operating System,Driver,Utility,Spreadsheet,"A,B,C"
AI,Which are areas of artificial intelligence?,Machine Learning,NLP,Computer Vision,Cloud Storage,"A,B,C"
Programming,Which of these define a function in Python?,def,lambda,class,while,"A,B"
Networking,Which are valid port numbers?,21,80,443,8080,"A,B,C,D"
Cybersecurity,Which of these use encryption?,VPN,HTTPS,SSH,Telnet,"A,B,C"
Hardware,Which are removable storage devices?,USB Drive,SD Card,External HDD,CPU,"A,B,C"
Databases,Which are relational database systems?,MySQL,Oracle,PostgreSQL,JSON,"A,B,C"
Software,Which are examples of cloud platforms?,AWS,Azure,Google Cloud,Excel,"A,B,C"
AI,Which are AI capabilities?,Learning,Reasoning,Perception,Printing,"A,B,C"
Programming,Which are valid variable names in Python?,age,_count,2name,totalValue,"A,B,D"
Networking,Which are examples of network security protocols?,SSL,TLS,IPsec,SMTP,"A,B,C"
Cybersecurity,Which are examples of phishing attempts?,Fake email links,Impersonation,Pop-up ads,Strong passwords,"A,B,C"
Hardware,Which are parts of the motherboard?,CPU Socket,RAM Slots,Power Connectors,Monitor,"A,B,C"
Databases,Which are non-relational databases?,MongoDB,Cassandra,Redis,SQLite,"A,B,C"
Software,Which are examples of productivity tools?,Word,Excel,PowerPoint,Notepad++,"A,B,C"
AI,Which are neural network components?,Input Layer,Hidden Layer,Output Layer,Secondary Memory,"A,B,C"
Programming,Which of these are object-oriented concepts?,Encapsulation,Inheritance,Polymorphism,Iteration,"A,B,C"
Networking,Which are connectionless protocols?,UDP,ICMP,HTTP,TCP,"A,B"
Cybersecurity,Which are examples of malware?,Trojan,Worm,Firewall,Spyware,"A,B,D"
Cybersecurity,What authentication methods use multiple verification steps?,Two-factor authentication,Multi-factor authentication,Single sign-on,Biometric login,"A,B,D"
Cybersecurity,Which protocols provide secure communication?,HTTPS,SSL/TLS,HTTP,FTP,"A,B"
Cybersecurity,What are types of cyber attacks?,Phishing,DDoS,Encryption,SQL Injection,"A,B,D"
Cybersecurity,Which are encryption algorithms?,AES,RSA,DES,HTTP,"A,B,C"
Cybersecurity,What are components of the CIA triad?,Confidentiality,Integrity,Availability,Authorization,"A,B,C"
Cybersecurity,Which tools are used for penetration testing?,Metasploit,Nmap,Wireshark,Microsoft Word,"A,B,C"
Cybersecurity,What are types of firewalls?,Packet filtering,Stateful inspection,Application layer,Database,"A,B,C"
Cybersecurity,Which are social engineering attacks?,Pretexting,Baiting,Tailgating,Patching,"A,B,C"
Cybersecurity,What are secure password practices?,Using complex passwords,Changing passwords regularly,Using password managers,Sharing passwords,"A,B,C"
Cybersecurity,Which are network security devices?,Firewall,IDS,IPS,Printer,"A,B,C"
Cybersecurity,What are types of malware?,Virus,Ransomware,Trojan,Antivirus,"A,B,C"
Cybersecurity,Which protocols use encryption by default?,HTTPS,SFTP,SSH,Telnet,"A,B,C"
Cybersecurity,What are VPN protocols?,OpenVPN,IPSec,L2TP,FTP,"A,B,C"
Cybersecurity,Which are digital forensics tools?,EnCase,FTK,Autopsy,Notepad,"A,B,C"
Cybersecurity,What are access control models?,DAC,MAC,RBAC,HTML,"A,B,C"
Cybersecurity,Which are hash functions?,MD5,SHA-256,SHA-1,AES,"A,B,C"
Cybersecurity,What are security certifications?,CISSP,CEH,CompTIA Security+,MCSE,"A,B,C"
Cybersecurity,Which are intrusion detection methods?,Signature-based,Anomaly-based,Heuristic,Alphabetical,"A,B,C"
Cybersecurity,What are vulnerability scanning tools?,Nessus,OpenVAS,Qualys,Chrome,"A,B,C"
Cybersecurity,Which are wireless security protocols?,WPA2,WPA3,WEP,HTTP,"A,B"
Cybersecurity,What are backup strategies?,Full backup,Incremental backup,Differential backup,No backup,"A,B,C"
Cybersecurity,Which are security frameworks?,NIST,ISO 27001,CIS Controls,HTML5,"A,B,C"
Cybersecurity,What are incident response phases?,Preparation,Detection,Containment,Ignorance,"A,B,C"
Cybersecurity,Which are authentication factors?,Knowledge factor,Possession factor,Inherence factor,Location factor,"A,B,C,D"
Cybersecurity,What are cryptographic methods?,Symmetric encryption,Asymmetric encryption,Hashing,Printing,"A,B,C"
Cybersecurity,Which are email security measures?,SPF,DKIM,DMARC,SMTP,"A,B,C"
Cybersecurity,What are cloud security concerns?,Data breaches,Insecure APIs,Account hijacking,Faster speeds,"A,B,C"
Cybersecurity,Which are web application vulnerabilities?,XSS,CSRF,SQL Injection,HTTPS,"A,B,C"
Cybersecurity,What are denial of service attack types?,UDP flood,SYN flood,HTTP flood,Encryption,"A,B,C"
Cybersecurity,Which are security information sources?,CVE database,NVD,Security blogs,Gaming forums,"A,B,C"
Cybersecurity,What are mobile security threats?,Malicious apps,Unsecured WiFi,Device theft,Updates,"A,B,C"
Cybersecurity,Which are endpoint security solutions?,Antivirus,EDR,Host-based firewall,Mouse,"A,B,C"
Cybersecurity,What are data loss prevention methods?,Encryption,Access controls,Data classification,Deletion,"A,B,C"
Cybersecurity,Which are physical security measures?,Locks,Security cameras,Biometric access,Passwords only,"A,B,C"
Cybersecurity,What are secure coding practices?,Input validation,Output encoding,Error handling,Ignoring errors,"A,B,C"
Cybersecurity,Which are network segmentation techniques?,VLANs,Subnetting,DMZ,Broadcasting,"A,B,C"
Cybersecurity,What are security monitoring tools?,SIEM,Log analyzers,Network monitors,Calculator,"A,B,C"
Cybersecurity,Which are identity management solutions?,Single Sign-On,LDAP,Active Directory,FTP,"A,B,C"
Cybersecurity,What are compliance standards?,GDPR,HIPAA,PCI DSS,HTML,"A,B,C"
Cybersecurity,Which are security testing methods?,Penetration testing,Vulnerability assessment,Security audit,Random guessing,"A,B,C"
Cybersecurity,What are ransomware prevention measures?,Regular backups,Security awareness training,Updated software,Opening all emails,"A,B,C"
Cybersecurity,Which are browser security features?,HTTPS enforcement,Pop-up blocking,Sandboxing,Auto-download,"A,B,C"
Cybersecurity,What are secure file transfer protocols?,SFTP,FTPS,SCP,FTP,"A,B,C"
Cybersecurity,Which are biometric authentication types?,Fingerprint,Facial recognition,Iris scan,Password,"A,B,C"
Cybersecurity,What are security policy components?,Acceptable use policy,Password policy,Access control policy,No policy,"A,B,C"
Cybersecurity,Which are threat intelligence sources?,Threat feeds,Dark web monitoring,Security advisories,Social media gossip,"A,B,C"
Cybersecurity,What are secure disposal methods?,Data wiping,Physical destruction,Degaussing,Recycling as-is,"A,B,C"
Cybersecurity,Which are certificate authorities?,DigiCert,Let's Encrypt,VeriSign,Facebook,"A,B,C"
Cybersecurity,What are zero-day vulnerabilities characteristics?,Unknown to vendor,No patch available,Actively exploited,Fully patched,"A,B,C"
Digital Electronics,Which gates produce HIGH output only when all inputs are HIGH?,AND gate,NAND gate,OR gate,NOR gate,A
Digital Electronics,What are types of flip-flops?,SR flip-flop,JK flip-flop,D flip-flop,XOR flip-flop,"A,B,C"
Digital Electronics,Which number systems are commonly used in digital electronics?,Binary,Octal,Hexadecimal,Decimal,"A,B,C,D"
Digital Electronics,What are basic logic gates?,AND,OR,NOT,MAYBE,"A,B,C"
Digital Electronics,Which are universal gates?,NAND,NOR,AND,OR,"A,B"
Digital Electronics,What are types of combinational circuits?,Multiplexer,Demultiplexer,Encoder,Flip-flop,"A,B,C"
Digital Electronics,Which are sequential circuits?,Counters,Registers,Flip-flops,Decoder,"A,B,C"
Digital Electronics,What are types of counters?,Up counter,Down counter,Ring counter,OR gate,"A,B,C"
Digital Electronics,Which are memory types?,RAM,ROM,EPROM,Resistor,"A,B,C"
Digital Electronics,What are characteristics of CMOS?,Low power consumption,High noise immunity,High integration,High power consumption,"A,B,C"
Digital Electronics,Which are Boolean algebra laws?,Commutative law,Associative law,Distributive law,Random law,"A,B,C"
Digital Electronics,What are Karnaugh map uses?,Circuit simplification,Logic minimization,Cost reduction,Color coding,"A,B,C"
Digital Electronics,Which are multiplexer types?,2:1 MUX,4:1 MUX,8:1 MUX,1:1 MUX,"A,B,C"
Digital Electronics,What are decoder applications?,Memory addressing,Display drivers,Demultiplexing,Power supply,"A,B,C"
Digital Electronics,Which are register types?,Shift register,Parallel register,Counter register,Random register,"A,B,C"
Digital Electronics,What are ADC types?,Successive approximation,Flash ADC,Dual slope,Analog gate,"A,B,C"
Digital Electronics,Which are DAC types?,Binary weighted,R-2R ladder,PWM,Digital gate,"A,B,C"
Digital Electronics,What are schmitt trigger characteristics?,Hysteresis,Noise immunity,Sharp transitions,Linear response,"A,B,C"
Digital Electronics,Which are types of ROM?,PROM,EPROM,EEPROM,DRAM,"A,B,C"
Digital Electronics,What are characteristics of TTL?,Fast switching,Moderate power,Standard logic levels,Very low power,"A,B,C"
Digital Electronics,Which are clock signal characteristics?,Frequency,Duty cycle,Rise time,Color,"A,B,C"
Digital Electronics,What are race conditions related to?,Timing issues,Asynchronous inputs,Glitches,Power supply,"A,B,C"
Digital Electronics,Which are synchronous circuit features?,Clock driven,Predictable timing,No race conditions,Random operation,"A,B,C"
Digital Electronics,What are Gray code advantages?,Only one bit changes,Reduced errors,Used in encoders,Faster computation,"A,B,C"
Digital Electronics,Which are PLD types?,PAL,PLA,CPLD,Resistor,"A,B,C"
Digital Electronics,What are FPGA characteristics?,Reconfigurable,High density,Hardware description,Fixed function,"A,B,C"
Digital Electronics,Which are timing parameters?,Setup time,Hold time,Propagation delay,Voltage level,"A,B,C"
Digital Electronics,What are hazards in digital circuits?,Static hazard,Dynamic hazard,Essential hazard,Power hazard,"A,B,C"
Digital Electronics,Which are encoder types?,Priority encoder,Decimal encoder,Octal encoder,Power encoder,"A,B,C"
Digital Electronics,What are BCD representations?,8421 code,Excess-3 code,2421 code,Binary only,"A,B,C"
Digital Electronics,Which are parity methods?,Even parity,Odd parity,Checksum,No parity,"A,B,C"
Digital Electronics,What are shift register modes?,Serial in serial out,Parallel in parallel out,Serial in parallel out,Random mode,"A,B,C"
Digital Electronics,Which are counter applications?,Frequency division,Event counting,Timing generation,Amplification,"A,B,C"
Digital Electronics,What are monostable characteristics?,One stable state,Pulse generation,Timing control,Two stable states,"A,B,C"
Digital Electronics,Which are bistable devices?,Flip-flops,Latches,SR latch,Diode,"A,B,C"
Digital Electronics,What are astable applications?,Clock generation,Oscillation,Square wave output,Data storage,"A,B,C"
Digital Electronics,Which are logic families?,TTL,CMOS,ECL,Analog,"A,B,C"
Digital Electronics,What are tristate buffer states?,High,Low,High impedance,Medium,"A,B,C"
Digital Electronics,Which are arithmetic circuits?,Adder,Subtractor,Comparator,Inverter,"A,B,C"
Digital Electronics,What are full adder inputs?,A,B,Carry in,Output,"A,B,C"
Digital Electronics,Which are ripple counter characteristics?,Asynchronous,Cumulative delay,Simple design,Instant operation,"A,B,C"
Digital Electronics,What are synchronous counter advantages?,No cumulative delay,Higher speed,Predictable operation,Lower cost,"A,B,C"
Digital Electronics,Which are race-free design methods?,Synchronous design,Master-slave flip-flops,Edge triggering,Random clocking,"A,B,C"
Digital Electronics,What are magnitude comparator outputs?,A>B,A=B,A<B,A+B,"A,B,C"
Digital Electronics,Which are digital design tools?,HDL,Simulation software,Logic analyzers,Hammers,"A,B,C"
Digital Electronics,What are metastability causes?,Setup violation,Hold violation,Clock issues,Correct timing,"A,B,C"
Digital Electronics,Which are Johnson counter features?,Self-decoding,No glitches,2n states for n flip-flops,Random states,"A,B,C"
Digital Electronics,What are ring counter characteristics?,Circular shift,n states for n flip-flops,One hot encoding,Infinite states,"A,B,C"
Digital Electronics,Which are voltage level standards?,TTL levels,CMOS levels,LVTTL,Audio levels,"A,B,C"
Digital Electronics,What are fan-out considerations?,Current drive,Loading effects,Signal integrity,Color preference,"A,B,C"
Linux Administration,Which commands are used to change file permissions?,chmod,chown,chgrp,chperm,"A,B,C"
Linux Administration,What are valid Linux directory paths?,/home/user,/etc/config,C:\Windows,/var/log,"A,B,D"
Linux Administration,Which package managers are used in Linux distributions?,apt,yum,dnf,exe,"A,B,C"
Linux Administration,What are Linux file types?,Regular file,Directory,Symbolic link,Executable only,"A,B,C"
Linux Administration,Which are system initialization systems?,systemd,SysVinit,Upstart,Windows Service,"A,B,C"
Linux Administration,What are shell types in Linux?,Bash,Zsh,Ksh,DOS,"A,B,C"
Linux Administration,Which commands show system information?,uname,hostname,lsb_release,delete,"A,B,C"
Linux Administration,What are Linux runlevels?,0 - Halt,1 - Single user,5 - Graphical,9 - Maximum,"A,B,C"
Linux Administration,Which are process management commands?,ps,top,kill,format,"A,B,C"
Linux Administration,What are disk management commands?,fdisk,parted,mkfs,paint,"A,B,C"
Linux Administration,Which are networking commands?,ifconfig,ip,netstat,wordpad,"A,B,C"
Linux Administration,What are file compression tools?,gzip,bzip2,tar,print,"A,B,C"
Linux Administration,Which are text editors in Linux?,vim,nano,emacs,paint,"A,B,C"
Linux Administration,What are user management commands?,useradd,usermod,userdel,userprint,"A,B,C"
Linux Administration,Which are log file locations?,/var/log/syslog,/var/log/messages,/var/log/auth.log,/windows/logs,"A,B,C"
Linux Administration,What are cron file types?,crontab,/etc/cron.d,/etc/cron.daily,/etc/task,"A,B,C"
Linux Administration,Which are file search commands?,find,locate,grep,paint,"A,B,C"
Linux Administration,What are filesystem types?,ext4,xfs,btrfs,ntfs,"A,B,C,D"
Linux Administration,Which are SELinux modes?,Enforcing,Permissive,Disabled,Maximum,"A,B,C"
Linux Administration,What are SSH configuration files?,/etc/ssh/sshd_config,~/.ssh/config,~/.ssh/known_hosts,C:\ssh\config,"A,B,C"
Linux Administration,Which are system monitoring tools?,htop,vmstat,iostat,notepad,"A,B,C"
Linux Administration,What are backup commands?,rsync,dd,tar,delete,"A,B,C"
Linux Administration,Which are kernel modules commands?,lsmod,modprobe,rmmod,winmod,"A,B,C"
Linux Administration,What are boot loaders?,GRUB,LILO,systemd-boot,bootmgr,"A,B,C"
Linux Administration,Which are disk usage commands?,df,du,lsblk,format,"A,B,C"
Linux Administration,What are memory information commands?,free,vmstat,cat /proc/meminfo,memcheck,"A,B,C"
Linux Administration,Which are firewall tools?,iptables,firewalld,ufw,firewall.exe,"A,B,C"
Linux Administration,What are archive commands?,tar,zip,unzip,paint,"A,B,C"
Linux Administration,Which are symbolic link commands?,ln -s,readlink,unlink,link.exe,"A,B,C"
Linux Administration,What are environment variable commands?,export,env,printenv,setenv,"A,B,C,D"
Linux Administration,Which are system resource limits?,ulimit,/etc/security/limits.conf,pam_limits,maximum,"A,B,C"
Linux Administration,What are scheduling priority commands?,nice,renice,ionice,prioritize,"A,B,C"
Linux Administration,Which are sudo configuration files?,/etc/sudoers,/etc/sudoers.d/,visudo,C:\sudo,"A,B,C"
Linux Administration,What are system time commands?,date,timedatectl,hwclock,time.exe,"A,B,C"
Linux Administration,Which are repository management commands?,apt-add-repository,yum-config-manager,dnf config-manager,add-repo.exe,"A,B,C"
Linux Administration,What are systemd unit types?,service,socket,timer,process,"A,B,C"
Linux Administration,Which are LVM commands?,pvcreate,vgcreate,lvcreate,volmake,"A,B,C"
Linux Administration,What are file attribute commands?,chattr,lsattr,getfattr,fileattr,"A,B,C"
Linux Administration,Which are RAID management tools?,mdadm,cat /proc/mdstat,raidtools,diskraid,"A,B,C"
Linux Administration,What are password management commands?,passwd,chage,pwconv,password.exe,"A,B,C"
Linux Administration,Which are quota management commands?,quotacheck,edquota,repquota,setquota,"A,B,C,D"
Linux Administration,What are kernel parameter commands?,sysctl,cat /proc/sys,/etc/sysctl.conf,kernelparam,"A,B,C"
Linux Administration,Which are service management commands?,systemctl start,systemctl stop,systemctl restart,service.exe,"A,B,C"
Linux Administration,What are journalctl options?,journalctl -u,journalctl -f,journalctl -b,journalctl -delete,"A,B,C"
Linux Administration,Which are SSH key types?,RSA,DSA,ECDSA,PASSWORD,"A,B,C"
Linux Administration,What are mount options?,ro,rw,noexec,fullaccess,"A,B,C"
Linux Administration,Which are ACL commands?,setfacl,getfacl,chacl,acl.exe,"A,B,C"
Linux Administration,What are network interface files?,/etc/network/interfaces,/etc/sysconfig/network-scripts,/etc/netplan,C:\network,"A,B,C"
Linux Administration,Which are system update commands?,apt update,yum update,dnf upgrade,update.exe,"A,B,C"
Linux Administration,What are troubleshooting commands?,dmesg,journalctl,strace,fix.exe,"A,B,C"
Networking,Which are valid IP address classes?,Class A,Class B,Class C,Class E,"A,B,C"
Networking,What devices operate at the Data Link Layer?,Switch,Bridge,Router,Hub,"A,B"
Networking,Which protocols are used for email transmission?,SMTP,POP3,IMAP,FTP,"A,B,C"
Networking,What are OSI model layers?,Physical,Data Link,Network,Application,"A,B,C,D"
Networking,Which are transport layer protocols?,TCP,UDP,SCTP,IP,"A,B,C"
Networking,What are types of network topologies?,Star,Ring,Mesh,Circle,"A,B,C"
Networking,Which are routing protocols?,RIP,OSPF,BGP,SMTP,"A,B,C"
Networking,What are private IP address ranges?,10.0.0.0/8,172.16.0.0/12,192.168.0.0/16,8.8.8.8/32,"A,B,C"
Networking,Which are DNS record types?,A record,MX record,CNAME record,IP record,"A,B,C"
Networking,What are DHCP message types?,Discover,Offer,Request,Delete,"A,B,C"
Networking,Which are cable types?,Twisted pair,Coaxial,Fiber optic,Power cable,"A,B,C"
Networking,What are VPN types?,Site-to-site,Remote access,SSL VPN,HTTP VPN,"A,B,C"
Networking,Which are wireless standards?,802.11a,802.11n,802.11ac,802.3,"A,B,C"
Networking,What are NAT types?,Static NAT,Dynamic NAT,PAT,DNS NAT,"A,B,C"
Networking,Which are network security protocols?,IPSec,SSL,TLS,FTP,"A,B,C"
Networking,What are VLAN advantages?,Broadcast control,Security,Flexibility,Slower speed,"A,B,C"
Networking,Which are QoS mechanisms?,Traffic shaping,Policing,Queuing,Deletion,"A,B,C"
Networking,What are TCP flags?,SYN,ACK,FIN,START,"A,B,C"
Networking,Which are subnetting benefits?,IP conservation,Security,Organization,Slower routing,"A,B,C"
Networking,What are load balancing algorithms?,Round robin,Least connections,IP hash,Random delete,"A,B,C"
