language,syntax_example,data_type_example,loop_example,function_example,paradigm,conditional_example,array_example,class_example,exception_handling,input_output,comment_syntax
Python,"print('Hello World')","x = 42\ny = 3.14\nname = 'John'\nis_valid = True","for i in range(5):\n    print(i)\n\nwhile x < 10:\n    x += 1","def add(a, b):\n    return a + b\n\nlambda x: x * 2",Object-Oriented,"if x > 0:\n    print('positive')\nelif x < 0:\n    print('negative')\nelse:\n    print('zero')","arr = [1, 2, 3, 4, 5]\narr.append(6)\nprint(arr[0])","class Person:\n    def __init__(self, name):\n        self.name = name\n    \n    def greet(self):\n        return f'Hello {self.name}'","try:\n    result = 10 / 0\nexcept ZeroDivisionError:\n    print('Error')\nfinally:\n    print('Done')","name = input('Enter name: ')\nprint(f'Hello {name}')\n\nwith open('file.txt', 'r') as f:\n    data = f.read()","# Single line\n''' Multi\nline\ncomment '''"
C,"printf(""Hello World\n"");","int x = 42;\nfloat y = 3.14;\nchar name[] = ""John"";\nint is_valid = 1;","for(int i=0; i<5; i++){\n    printf(""%d\n"", i);\n}\n\nwhile(x < 10){\n    x++;\n}","int add(int a, int b) {\n    return a + b;\n}\n\nvoid greet() {\n    printf(""Hello"");\n}",Procedural,"if(x > 0){\n    printf(""positive"");\n} else if(x < 0){\n    printf(""negative"");\n} else {\n    printf(""zero"");\n}","int arr[5] = {1,2,3,4,5};\nint *ptr = (int*)malloc(5*sizeof(int));\narr[0] = 10;","struct Person {\n    char name[50];\n    int age;\n};\n\nstruct Person p1;\nstrcpy(p1.name, ""John"");","#include <errno.h>\nFILE *f = fopen(""file.txt"", ""r"");\nif(f == NULL){\n    perror(""Error"");\n    return -1;\n}","char name[50];\nscanf(""%s"", name);\nprintf(""Hello %s\n"", name);\n\nFILE *f = fopen(""file.txt"", ""r"");\nfscanf(f, ""%d"", &x);","// Single line\n/* Multi\nline\ncomment */"
C++,"cout << ""Hello World"" << endl;","int x = 42;\nfloat y = 3.14;\nstring name = ""John"";\nbool is_valid = true;","for(int i=0; i<5; i++){\n    cout << i << endl;\n}\n\nwhile(x < 10){\n    x++;\n}","int add(int a, int b) {\n    return a + b;\n}\n\nauto multiply = [](int x, int y) {\n    return x * y;\n};",Object-Oriented,"if(x > 0){\n    cout << ""positive"";\n} else if(x < 0){\n    cout << ""negative"";\n} else {\n    cout << ""zero"";\n}","int arr[5] = {1,2,3,4,5};\nvector<int> vec = {1,2,3};\nvec.push_back(4);\ncout << vec[0];","class Person {\nprivate:\n    string name;\npublic:\n    Person(string n) : name(n) {}\n    string greet() {\n        return ""Hello "" + name;\n    }\n};","try {\n    throw runtime_error(""Error"");\n} catch(exception& e) {\n    cout << e.what();\n}","string name;\ncin >> name;\ncout << ""Hello "" << name << endl;\n\nifstream file(""file.txt"");\nstring line;\ngetline(file, line);","// Single line\n/* Multi\nline\ncomment */"
Java,"System.out.println(""Hello World"");","int x = 42;\ndouble y = 3.14;\nString name = ""John"";\nboolean isValid = true;","for(int i=0; i<5; i++){\n    System.out.println(i);\n}\n\nwhile(x < 10){\n    x++;\n}","public int add(int a, int b) {\n    return a + b;\n}\n\npublic static void main(String[] args) {\n    // code here\n}",Object-Oriented,"if(x > 0){\n    System.out.println(""positive"");\n} else if(x < 0){\n    System.out.println(""negative"");\n} else {\n    System.out.println(""zero"");\n}","int[] arr = {1,2,3,4,5};\nArrayList<Integer> list = new ArrayList<>();\nlist.add(6);\nSystem.out.println(arr[0]);","public class Person {\n    private String name;\n    \n    public Person(String name) {\n        this.name = name;\n    }\n    \n    public String greet() {\n        return ""Hello "" + name;\n    }\n}","try {\n    int result = 10 / 0;\n} catch(ArithmeticException e) {\n    System.out.println(""Error"");\n} finally {\n    System.out.println(""Done"");\n}","Scanner sc = new Scanner(System.in);\nString name = sc.nextLine();\nSystem.out.println(""Hello "" + name);\n\nBufferedReader br = new BufferedReader(new FileReader(""file.txt""));","// Single line\n/* Multi\nline\ncomment */\n/** Javadoc */"
JavaScript,"console.log('Hello World');","let x = 42;\nconst y = 3.14;\nlet name = 'John';\nlet isValid = true;","for(let i=0; i<5; i++){\n    console.log(i);\n}\n\nwhile(x < 10){\n    x++;\n}","function add(a, b) {\n    return a + b;\n}\n\nconst multiply = (a, b) => a * b;",Multi-paradigm,"if(x > 0){\n    console.log('positive');\n} else if(x < 0){\n    console.log('negative');\n} else {\n    console.log('zero');\n}","let arr = [1,2,3,4,5];\narr.push(6);\nconsole.log(arr[0]);\n\nconst map = new Map();\nmap.set('key', 'value');","class Person {\n    constructor(name) {\n        this.name = name;\n    }\n    \n    greet() {\n        return `Hello ${this.name}`;\n    }\n}","try {\n    throw new Error('Error');\n} catch(error) {\n    console.log(error.message);\n} finally {\n    console.log('Done');\n}","const readline = require('readline');\nconst rl = readline.createInterface({...});\n\nconst fs = require('fs');\nfs.readFile('file.txt', 'utf8', (err, data) => {});","// Single line\n/* Multi\nline\ncomment */"
SQL,"SELECT * FROM users;","INT, VARCHAR(50), FLOAT, DECIMAL(10,2), BOOLEAN, DATE, TIMESTAMP","-- No direct loops in standard SQL\nWHILE @counter < 10\nBEGIN\n    SET @counter = @counter + 1;\nEND","CREATE PROCEDURE AddNumbers\n    @a INT,\n    @b INT\nAS\nBEGIN\n    RETURN @a + @b;\nEND",Declarative,"SELECT name,\n    CASE\n        WHEN age < 18 THEN 'Minor'\n        WHEN age >= 18 THEN 'Adult'\n        ELSE 'Unknown'\n    END AS status\nFROM users;","-- Arrays not standard in SQL\nCREATE TABLE numbers (\n    id INT PRIMARY KEY,\n    value INT\n);\nINSERT INTO numbers VALUES (1, 10);","CREATE TABLE Person (\n    id INT PRIMARY KEY,\n    name VARCHAR(50),\n    age INT\n);\n\nCREATE INDEX idx_name ON Person(name);","BEGIN TRY\n    -- SQL statements\nEND TRY\nBEGIN CATCH\n    SELECT ERROR_MESSAGE();\nEND CATCH;","-- Input typically through application layer\nSELECT * FROM users WHERE name = 'John';\n\n-- Output\nSELECT name, age FROM users;","-- Single line\n/* Multi\nline\ncomment */"
Python,"# Count lines in a file","int_count = 0","for line in open('data.txt'):\n    int_count += 1","def count_lines(path):\n    with open(path) as f:\n        return len(f.readlines())",Procedural,"if int_count > 100:\n    print('Large file')","lines = []\nwith open('data.txt') as f:\n    lines = f.readlines()","class FileCounter:\n    def __init__(self, path):\n        self.path = path\n    def count(self):\n        return len(open(self.path).readlines())","try:\n    lines = count_lines('data.txt')\nexcept FileNotFoundError:\n    print('File not found')","fname = input('File name: ')\nprint(count_lines(fname))","# Comment"
C++,"#include <bits/stdc++.h>\nusing namespace std;\nint main(){cout<<'TOPCIT';}","int n; vector<int> arr;","for(int i=0;i<n;i++){cin>>arr[i];}","int sum(vector<int>& arr){return accumulate(arr.begin(),arr.end(),0);}","Procedural","if(sum(arr)>100){cout<<'High';}","int arr[5]={1,2,3,4,5};","class Calculator{public:int add(int a,int b){return a+b;}};","try{throw runtime_error('Error');}catch(exception&e){cout<<e.what();}","cin>>n; cout<<n;","// Comment"
Java,"System.out.println('TOPCIT test');","int sales = 1000;\nint cost = 700;","for(int i=0;i<12;i++){total+=sales;}","public double getProfit(int s,int c){return s-c;}","Object-Oriented","if(profit>0){System.out.println('Profit');}","int[] data={1,2,3};","class Report{public void print(){System.out.println('Report');}}","try{File f=new File('a.txt');}catch(Exception e){System.out.println(e);}","Scanner sc=new Scanner(System.in);sc.nextInt();","// Comment"
JavaScript,"console.log('TOPCIT');","let total=0;","for(let i=0;i<10;i++){total+=i;}","function avg(arr){return arr.reduce((a,b)=>a+b)/arr.length;}","Event-driven","if(total>10){console.log('Pass');}","let nums=[1,2,3];","class Calc{sum(a,b){return a+b;}}","try{JSON.parse('{bad json}');}catch(e){console.log('Error');}","alert('Input done');","// Comment"
SQL,"SELECT product, SUM(sales) FROM sales GROUP BY product;","NUMERIC, VARCHAR","-- Loop simulation via cursors","CREATE FUNCTION getRevenue() RETURNS DECIMAL AS BEGIN RETURN (SELECT SUM(sales) FROM sales); END",Declarative,"CASE WHEN sales>1000 THEN 'High' ELSE 'Low' END","-- Use temporary table","CREATE TABLE Report(id INT, total DECIMAL);","-- No class","BEGIN TRY ... END TRY","SELECT * FROM employees;","-- Comment"
